$GPGGA,123519,2232.544,N,08822.614,E,1,08,0.9,15.4,M,0.0,M,,*47
$GLGGA,123519,2232.544,N,08822.614,E,1,06,1.2,15.4,M,0.0,M,,*47
$BDGGA,123519,2232.544,N,08822.614,E,2,10,0.7,15.4,M,0.0,M,,*47
$GAGGA,123519,2232.544,N,08822.614,E,1,07,1.1,15.4,M,0.0,M,,*47
$GPGGA,123520,2232.545,N,08822.615,E,1,08,0.9,15.5,M,0.0,M,,*47
$GLGGA,123520,2232.545,N,08822.615,E,1,06,1.2,15.5,M,0.0,M,,*47
$BDGGA,123520,2232.545,N,08822.615,E,2,10,0.7,15.5,M,0.0,M,,*47
$GAGGA,123520,2232.545,N,08822.615,E,1,07,1.1,15.5,M,0.0,M,,*47
$GPGGA,123521,2232.546,N,08822.616,E,1,08,0.9,15.6,M,0.0,M,,*47
$GLGGA,123521,2232.546,N,08822.616,E,1,06,1.2,15.6,M,0.0,M,,*47
$BDGGA,123521,2232.546,N,08822.616,E,2,10,0.7,15.6,M,0.0,M,,*47
$GAGGA,123521,2232.546,N,08822.616,E,1,07,1.1,15.6,M,0.0,M,,*47
$GPGGA,123522,2232.547,N,08822.617,E,1,08,0.9,15.7,M,0.0,M,,*47
$GLGGA,123522,2232.547,N,08822.617,E,1,06,1.2,15.7,M,0.0,M,,*47
$BDGGA,123522,2232.547,N,08822.617,E,2,10,0.7,15.7,M,0.0,M,,*47
$GAGGA,123522,2232.547,N,08822.617,E,1,07,1.1,15.7,M,0.0,M,,*47
$GPGGA,123523,2232.548,N,08822.618,E,1,08,0.9,15.8,M,0.0,M,,*47
$GLGGA,123523,2232.548,N,08822.618,E,1,06,1.2,15.8,M,0.0,M,,*47
$BDGGA,123523,2232.548,N,08822.618,E,2,10,0.7,15.8,M,0.0,M,,*47
$GAGGA,123523,2232.548,N,08822.618,E,1,07,1.1,15.8,M,0.0,M,,*47
